City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-07-14 04:17:00,-21.2,-175.2,71.76,88,75,13.8
1,Vanino,RU,2021-07-14 04:21:54,49.0869,140.2543,84.72,55,97,7.92
2,Hobart,AU,2021-07-14 04:14:45,-42.8794,147.3294,55.11,90,75,1.01
3,Guerrero Negro,MX,2021-07-14 04:15:40,27.9769,-114.0611,69.91,80,21,13.82
4,Bluff,NZ,2021-07-14 04:16:42,-46.6,168.3333,49.8,80,100,22.84
5,Alofi,NU,2021-07-14 04:17:33,-19.0595,-169.9187,78.69,89,50,11.5
6,Saldanha,ZA,2021-07-14 04:18:57,-33.0117,17.9442,48.54,71,38,6.13
7,Goderich,CA,2021-07-14 04:18:03,43.7501,-81.7165,67.91,94,98,8.05
8,Punta Arenas,CL,2021-07-14 04:16:42,-53.15,-70.9167,28.51,93,75,3.44
9,Voh,NC,2021-07-14 04:21:55,-20.9667,164.7,74.71,46,0,8.79
10,Puerto Ayora,EC,2021-07-14 04:16:52,-0.7393,-90.3518,71.71,89,79,9.8
11,Bredasdorp,ZA,2021-07-14 04:16:46,-34.5322,20.0403,39.27,79,4,7.54
12,Hervey Bay,AU,2021-07-14 04:17:56,-25.2986,152.8535,74.03,65,12,5.01
13,Jamestown,US,2021-07-14 04:11:58,42.097,-79.2353,70.92,94,90,5.01
14,Narsaq,GL,2021-07-14 04:17:36,60.9167,-46.05,46.62,75,100,2.48
15,Cape Town,ZA,2021-07-14 04:15:03,-33.9258,18.4232,48.11,81,75,1.99
16,Betare Oya,CM,2021-07-14 04:21:55,5.6,14.0833,64.45,99,72,2.13
17,New Norfolk,AU,2021-07-14 04:17:11,-42.7826,147.0587,54.75,88,100,0.96
18,Saskylakh,RU,2021-07-14 04:17:36,71.9167,114.0833,45.64,49,100,18.9
19,Rikitea,PF,2021-07-14 04:16:41,-23.1203,-134.9692,73.92,70,2,12.66
20,Huarmey,PE,2021-07-14 04:16:53,-10.0681,-78.1522,64.72,85,54,10.11
21,General Roca,AR,2021-07-14 04:21:56,-39.0333,-67.5833,28.8,42,2,6.31
22,Chuy,UY,2021-07-14 04:17:10,-33.6971,-53.4616,54.25,91,98,6.98
23,Hasaki,JP,2021-07-14 04:17:20,35.7333,140.8333,84.29,84,93,8.12
24,Cidreira,BR,2021-07-14 04:17:09,-30.1811,-50.2056,62.78,83,100,4.34
25,Santa Cruz,BO,2021-07-14 04:21:56,-17.8,-63.1667,77.58,49,35,8.52
26,San Quintin,MX,2021-07-14 04:18:06,30.4833,-115.95,68.59,83,13,3.56
27,Ushuaia,AR,2021-07-14 04:16:44,-54.8,-68.3,29.86,80,20,4.61
28,Albany,US,2021-07-14 04:11:56,42.6001,-73.9662,71.53,92,99,3.0
29,Cajamarca,PE,2021-07-14 04:21:56,-7.1638,-78.5003,51.91,90,30,6.24
30,Elmadag,TR,2021-07-14 04:21:57,39.9208,33.2308,65.34,65,0,3.44
31,Nyagan,RU,2021-07-14 04:21:57,62.1406,65.3936,55.99,44,5,7.9
32,Pangai,TO,2021-07-14 04:21:57,-19.8,-174.35,80.71,74,75,5.75
33,Kholtoson,RU,2021-07-14 04:21:58,50.2981,103.3097,66.87,57,83,2.62
34,Carnarvon,AU,2021-07-14 04:17:35,-24.8667,113.6333,69.87,60,40,5.75
35,Korla,CN,2021-07-14 04:21:58,41.7597,86.1469,81.84,36,100,5.35
36,Chidambaram,IN,2021-07-14 04:21:58,11.4,79.7,87.62,53,100,8.79
37,Labuhan,ID,2021-07-14 04:19:02,-6.8844,112.2051,83.97,57,100,4.45
38,Byron Bay,AU,2021-07-14 04:21:59,-28.65,153.6167,71.71,54,95,13.47
39,Hermanus,ZA,2021-07-14 04:16:56,-34.4187,19.2345,47.89,75,46,9.8
40,Torit,SS,2021-07-14 04:21:59,4.4133,32.5678,68.16,95,100,3.13
41,Longyearbyen,SJ,2021-07-14 04:18:08,78.2186,15.6401,39.04,87,75,9.22
42,Barsovo,RU,2021-07-14 04:21:59,61.1667,73.1667,50.13,64,100,16.22
43,Winnemucca,US,2021-07-14 04:21:59,40.973,-117.7357,82.45,16,1,3.44
44,Busselton,AU,2021-07-14 04:16:51,-33.65,115.3333,57.04,67,56,20.83
45,Kapaa,US,2021-07-14 04:16:57,22.0752,-159.319,84.18,77,20,14.97
46,Barrow,US,2021-07-14 04:13:27,71.2906,-156.7887,33.82,86,90,10.36
47,Paamiut,GL,2021-07-14 04:18:27,61.994,-49.6678,45.61,78,100,6.6
48,Mataura,NZ,2021-07-14 04:16:47,-46.1927,168.8643,49.48,69,100,9.48
49,Birjand,IR,2021-07-14 04:22:00,32.8663,59.2211,86.47,13,0,9.22
50,Salalah,OM,2021-07-14 04:18:37,17.0151,54.0924,80.69,94,90,5.75
51,Kuldur,RU,2021-07-14 04:22:00,49.2167,131.6333,85.32,65,100,8.14
52,Atuona,PF,2021-07-14 04:16:56,-9.8,-139.0333,78.42,73,31,22.53
53,Cherskiy,RU,2021-07-14 04:17:28,68.75,161.3,45.32,81,100,4.45
54,Huilong,CN,2021-07-14 04:22:00,31.8111,121.655,86.43,76,99,11.83
55,Jasper,US,2021-07-14 04:20:11,37.2001,-94.3502,77.56,74,1,6.91
56,Port Alfred,ZA,2021-07-14 04:16:43,-33.5906,26.891,51.08,68,88,16.6
57,Fort Nelson,CA,2021-07-14 04:15:08,58.8053,-122.7002,76.59,53,75,2.3
58,Haines Junction,CA,2021-07-14 04:22:01,60.7522,-137.5108,58.95,47,67,6.91
59,Qaanaaq,GL,2021-07-14 04:16:51,77.484,-69.3632,39.11,82,100,1.57
60,Chara,RU,2021-07-14 04:22:01,56.9064,118.2631,74.19,38,76,2.39
61,Los Llanos De Aridane,ES,2021-07-14 04:18:33,28.6585,-17.9182,65.95,83,0,17.27
62,Aurangabad,IN,2021-07-14 04:18:15,19.8833,75.3333,78.89,78,93,11.1
63,Upernavik,GL,2021-07-14 04:16:47,72.7868,-56.1549,40.84,94,100,33.93
64,Coquimbo,CL,2021-07-14 04:22:02,-29.9533,-71.3436,55.13,76,90,5.75
65,Katsuura,JP,2021-07-14 04:18:31,35.1333,140.3,82.51,81,86,6.71
66,Turukhansk,RU,2021-07-14 04:18:24,65.8167,87.9833,53.4,45,91,6.69
67,Hambantota,LK,2021-07-14 04:18:02,6.1241,81.1185,86.2,62,84,21.7
68,Bethel,US,2021-07-14 04:15:27,41.3712,-73.414,70.09,93,90,5.75
69,Laurel,US,2021-07-14 04:18:11,39.0993,-76.8483,83.66,78,1,1.99
70,Kodiak,US,2021-07-14 04:15:43,57.79,-152.4072,54.91,76,90,10.36
71,Portree,GB,2021-07-14 04:22:02,57.4129,-6.1942,56.52,90,99,4.05
72,Butaritari,KI,2021-07-14 04:15:16,3.0707,172.7902,82.31,77,82,12.75
73,Alexandria,EG,2021-07-14 04:18:28,31.2156,29.9553,80.56,69,0,6.91
74,Hilo,US,2021-07-14 04:17:33,19.7297,-155.09,80.33,64,1,10.36
75,Chhatapur,IN,2021-07-14 04:22:03,26.2167,87.0167,88.61,67,41,11.39
76,Sao Filipe,CV,2021-07-14 04:18:21,14.8961,-24.4956,73.08,89,100,2.42
77,Tuatapere,NZ,2021-07-14 04:17:42,-46.1333,167.6833,49.82,93,100,9.1
78,Lobez,PL,2021-07-14 04:22:03,53.6392,15.6213,71.28,83,31,7.74
79,Puerto Rico,AR,2021-07-14 04:22:03,-26.796,-55.024,60.39,71,84,2.93
80,Lima,PE,2021-07-14 04:20:06,-12.0432,-77.0282,61.9,84,90,11.5
81,Severo-Kurilsk,RU,2021-07-14 04:17:09,50.6789,156.125,58.68,90,100,8.32
82,Kungurtug,RU,2021-07-14 04:17:41,50.5994,97.5228,70.52,47,20,2.44
83,Tasiilaq,GL,2021-07-14 04:16:48,65.6145,-37.6368,44.76,95,97,5.66
84,Saint George,US,2021-07-14 04:17:36,37.1041,-113.5841,93.67,29,75,24.16
85,Atasu,KZ,2021-07-14 04:22:04,48.6814,71.6433,52.56,85,100,16.64
86,Cayenne,GF,2021-07-14 04:17:34,4.9333,-52.3333,77.09,89,20,0.0
87,Georgetown,MY,2021-07-14 04:16:55,5.4112,100.3354,85.95,66,40,2.3
88,Lebu,CL,2021-07-14 04:17:01,-37.6167,-73.65,46.94,80,4,13.47
89,Namibe,AO,2021-07-14 04:22:04,-15.1961,12.1522,62.1,89,53,1.16
90,Estacion Coahuila,MX,2021-07-14 04:22:04,32.1939,-115.0017,97.9,50,60,17.54
91,Catio,GW,2021-07-14 04:22:05,11.2833,-15.25,77.23,89,100,5.64
92,Dire Dawa,ET,2021-07-14 04:22:05,9.5931,41.8661,69.19,71,100,22.82
93,Zaltan,LY,2021-07-14 04:22:05,32.947,11.8665,78.75,86,1,15.03
94,Hilton Head Island,US,2021-07-14 04:22:06,32.2163,-80.7526,80.98,84,20,0.0
95,Henties Bay,NA,2021-07-14 04:22:06,-22.116,14.2845,57.72,48,0,6.93
96,Buarcos,PT,2021-07-14 04:22:06,40.166,-8.8768,58.55,96,2,1.99
97,Zhanakorgan,KZ,2021-07-14 04:22:06,43.9098,67.2495,76.96,31,0,10.04
98,Mahebourg,MU,2021-07-14 04:16:54,-20.4081,57.7,70.09,88,75,12.66
99,Hithadhoo,MV,2021-07-14 04:17:00,-0.6,73.0833,81.99,75,19,6.24
100,Olafsvik,IS,2021-07-14 04:16:52,64.8945,-23.7142,48.69,87,100,19.91
101,Vallenar,CL,2021-07-14 04:22:07,-28.5708,-70.7581,50.31,84,0,3.38
102,Maryville,US,2021-07-14 04:22:07,35.7565,-83.9705,75.15,91,77,3.96
103,Lagos,NG,2021-07-14 04:22:07,6.5833,3.75,79.12,85,100,6.26
104,Bar Harbor,US,2021-07-14 04:17:50,44.3876,-68.2039,64.89,69,90,5.01
105,Axim,GH,2021-07-14 04:22:08,4.8699,-2.2405,76.84,81,100,9.53
106,Puteyets,RU,2021-07-14 04:22:08,65.1716,57.091,60.94,39,49,4.92
107,Ballina,AU,2021-07-14 04:22:08,-28.8667,153.5667,71.78,52,94,9.08
108,Massaguet,TD,2021-07-14 04:22:09,12.4755,15.4365,80.64,59,100,9.6
109,Magdagachi,RU,2021-07-14 04:22:09,53.45,125.8,72.46,58,100,6.58
110,Hanna,CA,2021-07-14 04:22:09,51.6334,-111.9018,72.91,63,59,1.01
111,Anadyr,RU,2021-07-14 04:17:51,64.75,177.4833,61.3,67,0,6.71
112,Bathsheba,BB,2021-07-14 04:16:45,13.2167,-59.5167,81.21,78,40,17.27
113,Kuytun,RU,2021-07-14 04:22:10,54.3419,101.5036,66.58,67,100,3.8
114,Asau,RO,2021-07-14 04:17:54,46.4333,26.4,68.76,85,0,2.19
115,Dikson,RU,2021-07-14 04:16:58,73.5069,80.5464,35.1,92,43,15.23
116,Arraial Do Cabo,BR,2021-07-14 04:12:08,-22.9661,-42.0278,70.52,89,0,21.99
117,Sechura,PE,2021-07-14 04:22:10,-5.5569,-80.8222,67.14,77,9,11.92
118,Ensley,US,2021-07-14 04:22:10,30.5188,-87.2728,82.53,91,1,0.0
119,Castro,BR,2021-07-14 04:16:45,-24.7911,-50.0119,53.85,67,99,1.9
120,Geraldton,AU,2021-07-14 04:16:55,-28.7667,114.6,64.81,72,75,20.71
121,Ocean City,US,2021-07-14 04:21:26,39.2776,-74.5746,78.82,86,100,4.0
122,Klyuchi,RU,2021-07-14 04:18:53,52.2667,79.1667,74.46,58,47,18.75
123,Beloha,MG,2021-07-14 04:22:11,-25.1667,45.05,62.55,82,0,2.39
124,Kawalu,ID,2021-07-14 04:22:11,-7.3817,108.2082,81.25,61,90,4.92
125,Oktyabrskiy,RU,2021-07-14 04:22:11,54.4815,53.471,65.59,45,2,6.91
126,Tuktoyaktuk,CA,2021-07-14 04:16:52,69.4541,-133.0374,48.2,71,75,17.27
127,Cabo San Lucas,MX,2021-07-14 04:13:09,22.8909,-109.9124,83.52,62,75,3.0
128,Kidal,ML,2021-07-14 04:22:12,18.4411,1.4078,89.92,36,7,13.73
129,Srednekolymsk,RU,2021-07-14 04:22:12,67.45,153.6833,64.45,41,13,3.94
130,Newton Stewart,GB,2021-07-14 04:22:12,54.9578,-4.4832,49.95,95,58,5.12
131,Chokurdakh,RU,2021-07-14 04:16:49,70.6333,147.9167,55.85,46,52,9.51
132,Saint-Philippe,RE,2021-07-14 04:17:28,-21.3585,55.7679,69.35,70,8,8.52
133,Constitucion,CL,2021-07-14 04:17:47,-35.3333,-72.4167,46.87,70,0,5.17
134,Kaili,ID,2021-07-14 04:22:13,-3.4626,120.2147,72.07,84,100,2.51
135,Pita,GN,2021-07-14 04:22:13,10.8333,-12.5833,70.84,99,71,0.85
136,Vardo,NO,2021-07-14 04:16:43,70.3705,31.1107,53.8,93,100,19.57
137,Flin Flon,CA,2021-07-14 04:22:13,54.7682,-101.865,61.03,56,18,5.03
138,San Buenaventura,MX,2021-07-14 04:22:13,27.0833,-101.5333,83.48,67,69,13.27
139,Ginir,ET,2021-07-14 04:22:14,7.1333,40.7,57.24,86,100,7.61
140,Yaan,NG,2021-07-14 04:22:14,7.3833,8.5667,71.22,95,100,5.19
141,Senador Pompeu,BR,2021-07-14 04:22:14,-5.5881,-39.3717,71.91,63,27,3.27
142,Nikolskoye,RU,2021-07-14 04:17:04,59.7035,30.7861,75.09,84,99,1.1
143,Maltahohe,NA,2021-07-14 04:22:15,-24.8333,16.9833,29.3,82,0,8.88
144,Caravelas,BR,2021-07-14 04:18:35,-17.7125,-39.2481,70.56,87,0,5.01
145,Husavik,IS,2021-07-14 04:18:11,66.0449,-17.3389,53.51,69,59,5.53
146,Sarai,RU,2021-07-14 04:20:09,53.7458,41.0213,72.72,66,0,7.18
147,Yeppoon,AU,2021-07-14 04:22:15,-23.1333,150.7333,67.78,70,89,12.24
148,Khatanga,RU,2021-07-14 04:17:52,71.9667,102.5,44.92,56,96,17.81
149,Tondabayashi,JP,2021-07-14 04:22:15,34.5,135.6,88.97,59,75,1.01
150,Broken Hill,AU,2021-07-14 04:22:16,-31.95,141.4333,67.1,45,48,19.93
151,Atar,MR,2021-07-14 04:17:54,20.5169,-13.0499,88.11,32,27,4.59
152,Ugoofaaru,MV,2021-07-14 04:17:57,5.6667,73.0,82.11,79,100,11.18
153,Thompson,CA,2021-07-14 04:15:50,55.7435,-97.8558,55.56,62,40,0.0
154,Iskateley,RU,2021-07-14 04:21:13,67.6803,53.1512,56.79,64,100,4.43
155,Bilma,NE,2021-07-14 04:22:16,18.6853,12.9164,87.37,29,10,8.03
156,Cap Malheureux,MU,2021-07-14 04:17:56,-19.9842,57.6142,70.29,82,5,5.01
157,Codrington,AU,2021-07-14 04:17:44,-38.2667,141.9667,58.1,78,86,16.26
158,Kalemie,CD,2021-07-14 04:22:16,-5.9475,29.1947,70.29,52,48,2.48
159,Pangnirtung,CA,2021-07-14 04:16:42,66.1451,-65.7125,43.59,96,100,3.67
160,Palmas,BR,2021-07-14 04:22:17,-10.2128,-48.3603,69.67,73,0,5.75
161,Niquero,CU,2021-07-14 04:22:17,20.0431,-77.5828,79.25,83,53,8.63
162,Taoudenni,ML,2021-07-14 04:22:17,22.6783,-3.9836,96.08,9,1,11.18
163,Dennery,LC,2021-07-14 04:22:17,13.8996,-60.8879,80.69,83,40,19.57
164,Sioux Lookout,CA,2021-07-14 04:22:18,50.1001,-91.917,62.98,72,75,5.75
165,Yellowknife,CA,2021-07-14 04:14:57,62.456,-114.3525,66.33,52,98,10.07
166,Makakilo City,US,2021-07-14 04:22:18,21.3469,-158.0858,82.72,64,1,6.91
167,San Patricio,US,2021-07-14 04:18:42,28.017,-97.5169,82.85,82,20,7.72
168,Burnie,AU,2021-07-14 04:22:18,-41.0667,145.9167,51.93,95,100,11.61
169,Kijang,KR,2021-07-14 04:22:19,35.2442,129.2139,89.33,74,81,13.13
170,Victoria,HK,2021-07-14 04:15:07,22.2855,114.1577,93.96,77,51,8.01
171,Airai,TL,2021-07-14 04:17:00,-8.9266,125.4092,74.26,46,100,4.9
172,Totkomlos,HU,2021-07-14 04:22:19,46.4167,20.7333,79.14,54,2,9.08
173,Synya,RU,2021-07-14 04:22:19,65.3718,58.0387,60.53,39,48,3.15
174,Mar Del Plata,AR,2021-07-14 04:16:56,-38.0023,-57.5575,45.12,12,12,4.0
175,Lasa,IT,2021-07-14 04:18:18,46.6166,10.7002,54.63,96,96,1.1
176,Xining,CN,2021-07-14 04:22:19,36.6167,101.7667,71.55,45,100,2.68
177,Vila Velha,BR,2021-07-14 04:17:59,-20.3297,-40.2925,66.15,100,40,3.44
178,Avarua,CK,2021-07-14 04:17:17,-21.2078,-159.775,77.05,73,20,8.05
179,Nanortalik,GL,2021-07-14 04:18:23,60.1432,-45.2371,45.18,81,100,8.41
180,Coxim,BR,2021-07-14 04:22:20,-18.5067,-54.76,69.22,36,4,3.67
181,Kaitangata,NZ,2021-07-14 04:16:43,-46.2817,169.8464,49.93,50,99,6.02
182,La Rioja,ES,2021-07-14 04:22:20,42.25,-2.5,53.38,94,14,4.14
183,Poum,NC,2021-07-14 04:18:08,-20.2333,164.0167,70.93,63,28,9.46
184,Sola,VU,2021-07-14 04:17:26,-13.8833,167.55,80.38,79,31,19.48
185,Fairbanks,US,2021-07-14 04:18:00,64.8378,-147.7164,79.02,41,20,1.01
186,Quatre Cocos,MU,2021-07-14 04:18:20,-20.2078,57.7625,69.91,77,38,17.43
187,Katherine,AU,2021-07-14 04:22:20,-14.4667,132.2667,89.92,29,93,5.75
188,Malinovoye Ozero,RU,2021-07-14 04:21:18,51.6753,79.7825,71.56,61,53,21.83
